"fecha";"std";"Prof";"sitio";"Lectura_std"
"2018-02-14";"726";"p20cm";"S6";0,769
"2018-02-14";"726";"p40cm";"S6";0,828
"2018-02-14";"726";"p60cm";"S6";0,882
"2018-02-14";"726";"p80cm";"S6";0,552
"2018-02-14";"726";"p100cm";"S6";0,435
"2018-02-21";"753";"p20cm";"S6";0,651
"2018-02-21";"753";"p40cm";"S6";0,793
"2018-02-21";"753";"p60cm";"S6";0,813
"2018-02-21";"753";"p80cm";"S6";0,575
"2018-02-21";"753";"p100cm";"S6";0,39
"2018-02-27";"730";"p20cm";"S6";0,642
"2018-02-27";"730";"p40cm";"S6";0,803
"2018-02-27";"730";"p60cm";"S6";0,855
"2018-02-27";"730";"p80cm";"S6";0,541
